v8-version,7,8,279,23,-node.57,0
code-creation,Builtin,3,3454,0x13b4ca0,12,StrictPoisonPillThrower
code-creation,Builtin,3,3463,0x13b4cc0,12,UnsupportedThrower
code-creation,Builtin,3,3480,0x13b4ce0,65,ReturnReceiver
code-creation,Builtin,3,3489,0x13b4d40,36,ArrayConstructor
code-creation,Builtin,3,3499,0x13b4d80,413,ArrayConstructorImpl
code-creation,Builtin,3,3508,0x13b4f20,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3519,0x13b5020,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3531,0x13b5120,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3543,0x13b5200,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3555,0x13b52e0,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3567,0x13b53c0,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3579,0x13b54a0,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3592,0x13b5580,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3604,0x13b5660,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,3616,0x13b57a0,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3629,0x13b59c0,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3642,0x13b5ac0,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3655,0x13b5c60,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3668,0x13b5d60,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3681,0x13b5f00,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
